country,year,gdp_usd,gdp_growth_pct,population,fdi_net_inflows_pct_gdp,manufacturing_pct_gdp,access_to_electricity_pct,electric_power_consumption_kwh_pc,gross_capital_formation_pct_gdp,inflation_pct,total_imports_usd,wage_usd,lpi_score,industry_pct_gdp,"cobalt,_mine",graphite,lithium_minerals,manganese_ore,"nickel,_mine",political_stability_est,control_of_corruption_est,rule_of_law_est,total_disorder_events,acled_covered
Albania,2010,11926926615.8015,3.70693815255319,2913021.0,9.13813124439238,5.45212540687051,99.6,1943.34335385842,28.4284718608957,3.6271009151748,59963.0,22.502482280876105,2.46,24.9374619346668,0.0,0.0,0.0,0.0,1954.0,-0.191482901573181,-0.531616508960724,-0.385760486125946,0,False
Albania,2015,11386853113.0189,2.21872637517804,2880703.0,8.69053394301894,5.67151941669391,100.0,2098.09897098035,24.4134902778833,3.50120835492657,208295.0,249.44890641332617,2.436249,21.7636809971645,0.0,0.0,0.0,0.0,6280.0,0.341639041900635,-0.54514080286026,-0.31968680024147,0,False
Albania,2016,11861199830.8396,3.31498068384137,2876101.0,8.80509197849022,5.68442741798015,99.9,1994.36667905612,24.3679312234674,-0.367317209784652,289309.0,259.58671687778156,2.412498,21.1419653523072,0.0,0.0,0.0,0.0,3952.0,0.337447881698608,-0.472373723983765,-0.322631984949112,0,False
Albania,2017,13019726211.7369,3.80259872019053,2873457.0,7.85544826704409,6.15816688393972,99.9,2145.15129337241,24.5765033636177,2.06059845920226,166970.12,269.6769017632242,2.5362489999999998,20.3584083577153,0.0,0.0,0.0,0.0,5323.0,0.373770743608475,-0.481386840343475,-0.414191573858261,0,False
Albania,2018,15379509891.719599,4.01934561695576,2866376.0,7.83109066598543,6.70811438467001,100.0,2276.74247900485,25.9195811735721,2.02805963071135,181496.092,317.56889194132026,2.66,23.7535862152793,0.0,0.0,0.0,0.0,4204.0,0.366779267787933,-0.546018898487091,-0.414752036333084,239,True
Albania,2019,15585105131.064396,2.06256753999989,2854191.0,7.70621785587149,6.96748875847972,100.0,2297.67384172958,24.6048438023174,1.41109078954251,194347.53400000004,330.73030852443947,2.66,22.9655306366233,0.0,0.0,0.0,0.0,2830.0,0.11010505259037,-0.564274072647095,-0.426317363977432,341,True
Albania,2020,15241458744.868795,-3.31371614712083,2837849.0,7.01865154485077,7.06941246497269,100.0,2354.60026238182,25.1975821703481,1.62088661717004,420206.2070000001,348.33870225494707,2.66,23.4687164167083,0.0,0.0,0.0,0.0,3764.0,0.0886125192046165,-0.573538780212402,-0.378028213977814,223,True
Albania,2021,18032010563.755795,8.96955339178935,2811666.0,6.75790671297037,6.91828890492335,100.0,2509.89982451685,27.2106298668087,2.04147163139545,491006.0430000001,405.1874034003091,2.66,22.4341151172329,0.0,0.0,0.0,0.0,4178.0,0.196371927857399,-0.577179968357086,-0.280716270208359,170,True
Armenia,2010,9260285755.62424,2.2000000002151,3044800.0,5.7160373406455,9.42475853227752,99.8,1631.30583289543,39.3751094408429,8.17636138473952,37121.0,205.87591636706728,2.52,27.8270946139077,0.0,0.0,0.0,0.0,0.0,0.071855328977108,-0.695039570331573,-0.48135831952095,0,False
Armenia,2011,10142111824.5835,4.69999999867412,3027900.0,6.44066805582744,9.42475853227752,99.5,1716.70134416592,30.7367448594284,7.65000807859294,47762.0,225.67073787153893,2.54,27.8270946139077,0.0,0.0,0.0,0.0,0.0,-0.06386898458004,-0.664559423923492,-0.437706410884857,0,False
